rpm,speed,temperature,throttle,battery
1.408295532226562500e+03,3.860177993774414062e+01,9.469086456298828125e+01,6.582402801513671875e+01,1.434112739562988281e+01
2.314998535156250000e+03,6.441682434082031250e+01,9.272931671142578125e+01,2.431395721435546875e+01,1.410705280303955078e+01
1.562683349609375000e+03,4.378186035156250000e+01,9.005277252197265625e+01,5.826443481445312500e+01,1.298775482177734375e+01
1.239076049804687500e+03,3.441338729858398438e+01,8.948729705810546875e+01,3.929181671142578125e+01,1.418771076202392578e+01
3.046378417968750000e+03,8.520742034912109375e+01,9.200412750244140625e+01,3.037756538391113281e+01,1.267958927154541016e+01
2.205920166015625000e+03,6.310164642333984375e+01,9.018304443359375000e+01,9.993181228637695312e+00,1.241063308715820312e+01
2.678609375000000000e+03,7.506420135498046875e+01,9.242866516113281250e+01,8.923062133789062500e+01,1.261670494079589844e+01
8.792586059570312500e+02,2.480126190185546875e+01,9.402608489990234375e+01,9.975431823730468750e+01,1.321897602081298828e+01
1.985198486328125000e+03,5.561296844482421875e+01,9.222727203369140625e+01,6.021539306640625000e+01,1.329594326019287109e+01
3.274560058593750000e+03,9.211970520019531250e+01,9.418423461914062500e+01,7.332045745849609375e+01,1.401177120208740234e+01
2.829386230468750000e+03,7.863694000244140625e+01,8.541152954101562500e+01,1.452724647521972656e+01,1.236597442626953125e+01
1.841518554687500000e+03,5.164325714111328125e+01,9.012243652343750000e+01,3.234444046020507812e+01,1.298254489898681641e+01
1.567117065429687500e+03,4.377412796020507812e+01,8.511906433105468750e+01,2.688828659057617188e+01,1.332771396636962891e+01
2.637678222656250000e+03,7.367359924316406250e+01,9.428594970703125000e+01,7.979312896728515625e+01,1.258454799652099609e+01
8.728452148437500000e+02,2.513088798522949219e+01,8.661865234375000000e+01,3.124183464050292969e+01,1.300746822357177734e+01
3.821003906250000000e+03,1.071374893188476562e+02,9.180013275146484375e+01,3.218320083618164062e+01,1.305883216857910156e+01
2.957261718750000000e+03,8.235843658447265625e+01,9.089790344238281250e+01,6.840000915527343750e+01,1.347036552429199219e+01
3.339488525390625000e+03,9.303977203369140625e+01,8.753223419189453125e+01,8.414394378662109375e+01,1.243025779724121094e+01
1.949429199218750000e+03,5.489967727661132812e+01,9.243848419189453125e+01,8.617526245117187500e+01,1.207498073577880859e+01
2.024260864257812500e+03,5.564574813842773438e+01,8.645860290527343750e+01,1.461278724670410156e+01,1.264051437377929688e+01
1.039749389648437500e+03,2.975174903869628906e+01,9.309579467773437500e+01,4.029627227783203125e+01,1.311208915710449219e+01
2.864594970703125000e+03,7.964376068115234375e+01,8.933121490478515625e+01,6.247640228271484375e+01,1.310892486572265625e+01
2.543081298828125000e+03,7.150854492187500000e+01,8.859378051757812500e+01,8.284725952148437500e+01,1.266003417968750000e+01
1.935947998046875000e+03,5.406888198852539062e+01,8.663005828857421875e+01,9.846160125732421875e+01,1.412396717071533203e+01
2.323924804687500000e+03,6.538800048828125000e+01,8.836864471435546875e+01,8.566683197021484375e+01,1.416549968719482422e+01
2.588139404296875000e+03,7.279016113281250000e+01,8.647164154052734375e+01,6.773546600341796875e+01,1.298941707611083984e+01
3.635108886718750000e+03,4.285390675067901611e-02,9.321633911132812500e+01,1.372892189025878906e+01,1.224437999725341797e+01
9.014948730468750000e+02,2.493691253662109375e+01,8.908354187011718750e+01,2.247911071777343750e+01,1.261830806732177734e+01
1.806142456054687500e+03,5.055866622924804688e+01,9.401690673828125000e+01,5.770508956909179688e+01,1.383265209197998047e+01
2.433852050781250000e+03,6.807411193847656250e+01,8.933430480957031250e+01,4.270321655273437500e+01,1.395424842834472656e+01
2.733773437500000000e+03,7.632425689697265625e+01,8.638109588623046875e+01,4.406082153320312500e+01,1.372166728973388672e+01
2.427215820312500000e+03,6.853471374511718750e+01,8.729557800292968750e+01,3.979368972778320312e+01,1.389970874786376953e+01
1.515873535156250000e+03,4.238001251220703125e+01,8.600840759277343750e+01,7.359243011474609375e+01,1.226485347747802734e+01
1.445401611328125000e+03,3.935089492797851562e+01,9.305586242675781250e+01,1.253260135650634766e+01,1.221686458587646484e+01
1.269581542968750000e+03,3.562128448486328125e+01,8.715619659423828125e+01,9.283055114746093750e+01,1.430171775817871094e+01
3.440683349609375000e+03,9.638152313232421875e+01,8.826633453369140625e+01,1.142910480499267578e+00,1.208831882476806641e+01
1.288320434570312500e+03,3.605381774902343750e+01,8.651930236816406250e+01,1.260527896881103516e+01,1.367620944976806641e+01
1.001330200195312500e+03,2.758150863647460938e+01,9.200575256347656250e+01,6.960016632080078125e+01,1.415347290039062500e+01
2.533177490234375000e+03,7.132749176025390625e+01,9.125086975097656250e+01,7.953041839599609375e+01,1.298366928100585938e+01
3.385338867187500000e+03,9.567477416992187500e+01,8.928379058837890625e+01,8.022356414794921875e+01,1.313750648498535156e+01
3.615158691406250000e+03,1.012333450317382812e+02,9.221339416503906250e+01,9.568927764892578125e+01,1.244657135009765625e+01
3.016284667968750000e+03,8.425804901123046875e+01,9.246913146972656250e+01,3.541031265258789062e+01,1.346372413635253906e+01
1.867277343750000000e+03,5.211310195922851562e+01,8.642043304443359375e+01,1.889856529235839844e+01,1.366960239410400391e+01
1.086043823242187500e+03,3.116595840454101562e+01,8.574181365966796875e+01,3.961654281616210938e+01,1.257572650909423828e+01
1.239957397460937500e+03,3.440424728393554688e+01,9.127532196044921875e+01,3.178358316421508789e+00,1.327749824523925781e+01
1.613322143554687500e+03,4.595225906372070312e+01,8.674600219726562500e+01,2.635544967651367188e+01,1.202055740356445312e+01
1.589614013671875000e+03,4.532388305664062500e+01,9.172309875488281250e+01,3.987652206420898438e+01,1.408869743347167969e+01
8.520227661132812500e+02,2.448114776611328125e+01,9.315763854980468750e+01,7.235593414306640625e+01,1.417272949218750000e+01
1.731514160156250000e+03,4.972702407836914062e+01,9.400682067871093750e+01,8.540887451171875000e+01,1.213428878784179688e+01
1.695442993164062500e+03,4.782307815551757812e+01,9.340944671630859375e+01,7.685169982910156250e+01,1.356937980651855469e+01
1.706578735351562500e+03,4.816389465332031250e+01,8.777697753906250000e+01,3.667430877685546875e+01,1.297740173339843750e+01
2.651549804687500000e+03,7.418680572509765625e+01,9.472346496582031250e+01,9.028926849365234375e+01,1.430474376678466797e+01
1.655624023437500000e+03,4.590524291992187500e+01,8.894046020507812500e+01,1.742505311965942383e+00,1.228598880767822266e+01
3.495341064453125000e+03,9.748193359375000000e+01,9.346270751953125000e+01,5.078350067138671875e+01,1.395674610137939453e+01
3.997476562500000000e+03,1.117760620117187500e+02,8.787345123291015625e+01,5.548706054687500000e+01,1.413508033752441406e+01
3.528452392578125000e+03,1.002077255249023438e+02,9.435343933105468750e+01,9.555423736572265625e+01,1.207679176330566406e+01
3.722819580078125000e+03,1.040727233886718750e+02,8.836380767822265625e+01,1.570254993438720703e+01,1.202952289581298828e+01
3.158110351562500000e+03,8.900686645507812500e+01,9.181529235839843750e+01,6.628572082519531250e+01,1.205577087402343750e+01
3.109240234375000000e+03,8.682672119140625000e+01,9.277674865722656250e+01,1.076448917388916016e+01,1.229552841186523438e+01
2.000504760742187500e+03,5.633208465576171875e+01,9.456947326660156250e+01,7.853582763671875000e+01,1.430683135986328125e+01
2.397635498046875000e+03,6.627355194091796875e+01,8.934209442138671875e+01,8.670767211914062500e+01,1.300831127166748047e+01
3.120586669921875000e+03,8.821733093261718750e+01,9.238580322265625000e+01,3.171531677246093750e+01,1.422504901885986328e+01
1.879659179687500000e+03,5.292252349853515625e+01,8.704380798339843750e+01,8.783017158508300781e+00,1.383256149291992188e+01
1.128080200195312500e+03,3.115952491760253906e+01,8.754822540283203125e+01,5.386671829223632812e+01,1.259058952331542969e+01
2.405490966796875000e+03,6.666295623779296875e+01,9.398342132568359375e+01,6.993123626708984375e+01,1.333120059967041016e+01
2.500754882812500000e+03,6.984577178955078125e+01,9.414146423339843750e+01,6.441363525390625000e+01,1.349242210388183594e+01
2.036713867187500000e+03,5.719688796997070312e+01,8.505850982666015625e+01,8.548863220214843750e+01,1.318288421630859375e+01
8.540507202148437500e+02,2.363128089904785156e+01,8.560594177246093750e+01,2.708715248107910156e+01,1.430354881286621094e+01
2.270596191406250000e+03,6.359138107299804688e+01,8.789569854736328125e+01,2.377178192138671875e+01,1.413581085205078125e+01
2.282815185546875000e+03,6.344024276733398438e+01,8.663999938964843750e+01,1.834660720825195312e+01,1.349006938934326172e+01
1.032163574218750000e+03,2.963692665100097656e+01,8.692549896240234375e+01,6.887295532226562500e+01,1.359188270568847656e+01
2.801485107421875000e+03,7.852595520019531250e+01,9.407261657714843750e+01,6.595903778076171875e+01,1.299036693572998047e+01
2.630922607421875000e+03,7.367179107666015625e+01,8.621690368652343750e+01,6.824893188476562500e+01,1.254178047180175781e+01
2.126553710937500000e+03,5.937170410156250000e+01,9.339303588867187500e+01,5.762347221374511719e+00,1.354021835327148438e+01
2.235972412109375000e+03,6.301525115966796875e+01,9.389730834960937500e+01,2.992300987243652344e+01,1.443554115295410156e+01
1.021648681640625000e+03,2.955414009094238281e+01,9.232209014892578125e+01,5.172842788696289062e+01,1.201412105560302734e+01
3.279779785156250000e+03,9.011154174804687500e+01,9.420962524414062500e+01,2.184648895263671875e+01,1.398916721343994141e+01
2.036197387695312500e+03,5.715139770507812500e+01,8.888393402099609375e+01,1.111770987510681152e+00,1.421565151214599609e+01
3.163234375000000000e+03,8.851569366455078125e+01,9.061818695068359375e+01,7.197825622558593750e+01,1.327233505249023438e+01
1.445065185546875000e+03,3.936055374145507812e+01,9.151277923583984375e+01,4.903080749511718750e+01,1.411083507537841797e+01
1.706032226562500000e+03,4.720010757446289062e+01,9.185867309570312500e+01,5.118223953247070312e+01,1.305729007720947266e+01
2.238977050781250000e+03,6.238523864746093750e+01,8.606449127197265625e+01,9.507943725585937500e+01,1.440364933013916016e+01
9.414106445312500000e+02,2.628816795349121094e+01,8.823463439941406250e+01,2.825960731506347656e+01,1.264822959899902344e+01
2.081357910156250000e+03,5.831105422973632812e+01,9.271416473388671875e+01,6.963311767578125000e+01,1.268038654327392578e+01
3.959214111328125000e+03,1.100182952880859375e+02,9.381568908691406250e+01,4.081418228149414062e+01,1.442831039428710938e+01
1.627497680664062500e+03,4.619955062866210938e+01,8.661103057861328125e+01,9.956607818603515625e+01,1.236384391784667969e+01
3.045318847656250000e+03,8.581090545654296875e+01,9.011538696289062500e+01,2.055584144592285156e+01,1.264527034759521484e+01
2.576135253906250000e+03,7.284977722167968750e+01,8.772045135498046875e+01,4.600374984741210938e+01,1.245380783081054688e+01
3.847349853515625000e+03,1.083968811035156250e+02,9.168035125732421875e+01,9.140605926513671875e+01,1.295188236236572266e+01
7.270955078125000000e+03,1.017266540527343750e+02,9.340785217285156250e+01,8.447716522216796875e+01,1.208010101318359375e+01
3.212066162109375000e+03,9.006053924560546875e+01,8.835047149658203125e+01,8.456993865966796875e+01,1.330017948150634766e+01
1.458635742187500000e+03,4.085675048828125000e+01,8.881703186035156250e+01,4.369381332397460938e+01,1.349595355987548828e+01
1.945657348632812500e+03,5.437477874755859375e+01,8.687236022949218750e+01,9.787133789062500000e+01,1.215465354919433594e+01
1.909608032226562500e+03,5.280731201171875000e+01,9.252165222167968750e+01,2.978748512268066406e+01,1.351669597625732422e+01
3.893421630859375000e+03,1.099039611816406250e+02,9.051472473144531250e+01,7.900382232666015625e+01,1.258498001098632812e+01
2.676771484375000000e+03,7.425933837890625000e+01,9.269977569580078125e+01,8.772647857666015625e+01,1.336662483215332031e+01
1.927303100585937500e+03,5.332788467407226562e+01,8.526768493652343750e+01,1.883265113830566406e+01,1.296623611450195312e+01
1.660018188476562500e+03,9.528650641441345215e-01,8.662102508544921875e+01,9.320929718017578125e+01,1.200108432769775391e+01
3.028390136718750000e+03,8.482104492187500000e+01,8.589505004882812500e+01,3.536837768554687500e+01,1.330108642578125000e+01
8.926749877929687500e+02,2.501284599304199219e+01,8.874003601074218750e+01,5.938061904907226562e+01,1.317711353302001953e+01
1.761149780273437500e+03,4.869559097290039062e+01,9.249701690673828125e+01,5.155916976928710938e+01,1.394908809661865234e+01
2.519013183593750000e+03,7.043535614013671875e+01,9.370565032958984375e+01,3.459128189086914062e+01,1.279060268402099609e+01
3.848661621093750000e+03,1.070523300170898438e+02,8.597325897216796875e+01,6.665464782714843750e+01,1.202380752563476562e+01
9.165822143554687500e+02,2.514763450622558594e+01,9.117128753662109375e+01,8.688852691650390625e+01,1.227701091766357422e+01
3.139295654296875000e+03,8.842330169677734375e+01,8.665753173828125000e+01,4.496424198150634766e+00,1.418309974670410156e+01
1.230381469726562500e+03,3.562757492065429688e+01,8.900199127197265625e+01,1.121104145050048828e+01,1.214958381652832031e+01
1.393909545898437500e+03,3.877180862426757812e+01,9.413027954101562500e+01,3.166075706481933594e+01,1.327015686035156250e+01
1.101508911132812500e+03,3.008798217773437500e+01,9.360839080810546875e+01,1.095062160491943359e+01,1.261699104309082031e+01
2.298625732421875000e+03,6.491610717773437500e+01,8.950576782226562500e+01,1.808844375610351562e+01,1.254229068756103516e+01
2.914256103515625000e+03,8.220225524902343750e+01,9.385097503662109375e+01,4.738446426391601562e+01,1.244496822357177734e+01
3.877429199218750000e+03,1.088058853149414062e+02,8.955928802490234375e+01,8.025260925292968750e+01,1.279475688934326172e+01
3.195458496093750000e+03,8.978182220458984375e+01,9.476761627197265625e+01,3.189720869064331055e+00,1.296644115447998047e+01
1.919583374023437500e+03,5.383802032470703125e+01,8.618130493164062500e+01,1.009493484497070312e+02,1.323525714874267578e+01
1.434553588867187500e+03,4.041268539428710938e+01,9.496756744384765625e+01,9.833927154541015625e+00,1.225082302093505859e+01
1.579875244140625000e+03,4.353196334838867188e+01,9.280639648437500000e+01,9.942567443847656250e+01,1.278477191925048828e+01
3.527569091796875000e+03,9.767582702636718750e+01,8.545829772949218750e+01,1.585873985290527344e+01,1.269891071319580078e+01
2.719374511718750000e+03,7.678830718994140625e+01,8.935025024414062500e+01,3.541819000244140625e+01,1.363797378540039062e+01
1.172555297851562500e+03,3.343570327758789062e+01,9.009651947021484375e+01,3.218504714965820312e+01,1.204091167449951172e+01
2.183473388671875000e+03,6.020813369750976562e+01,9.409050750732421875e+01,9.321102905273437500e+01,1.341074085235595703e+01
2.820881835937500000e+03,7.928796386718750000e+01,9.495507049560546875e+01,5.204957962036132812e+01,1.222950172424316406e+01
1.598583007812500000e+03,4.444075393676757812e+01,9.173522186279296875e+01,2.817005348205566406e+01,1.428811454772949219e+01
3.635120361328125000e+03,1.023160095214843750e+02,8.975488281250000000e+01,4.510673904418945312e+01,1.214697456359863281e+01
3.356656005859375000e+03,9.324727630615234375e+01,9.066462707519531250e+01,8.408047485351562500e+01,1.246287155151367188e+01
3.419356445312500000e+03,9.557955932617187500e+01,9.016493988037109375e+01,4.968173980712890625e+01,1.408881759643554688e+01
2.814732177734375000e+03,7.906713867187500000e+01,9.466934967041015625e+01,1.744810104370117188e+01,1.206667995452880859e+01
1.940215942382812500e+03,5.412618637084960938e+01,8.980609130859375000e+01,6.779428100585937500e+01,1.366740512847900391e+01
2.332116455078125000e+03,6.434535217285156250e+01,8.744099426269531250e+01,9.821797943115234375e+01,1.265987205505371094e+01
3.231645263671875000e+03,8.969156646728515625e+01,9.342570495605468750e+01,8.613484382629394531e+00,1.252880764007568359e+01
1.764677368164062500e+03,4.957339096069335938e+01,9.155915832519531250e+01,1.366044044494628906e+01,1.393856143951416016e+01
3.600015869140625000e+03,1.004396667480468750e+02,8.543475341796875000e+01,1.814984130859375000e+01,1.259186172485351562e+01
3.478635742187500000e+03,9.708209991455078125e+01,9.352478790283203125e+01,8.958132171630859375e+01,1.371602058410644531e+01
9.900499267578125000e+02,2.748533248901367188e+01,8.631253814697265625e+01,8.536994934082031250e+01,1.410073471069335938e+01
1.312143066406250000e+03,3.681915664672851562e+01,9.052545928955078125e+01,6.422976684570312500e+01,1.306856250762939453e+01
2.525157470703125000e+03,7.088684844970703125e+01,9.303678894042968750e+01,9.992576599121093750e+01,1.279879379272460938e+01
2.522018066406250000e+03,6.940999603271484375e+01,9.163860321044921875e+01,8.518106842041015625e+01,1.240509128570556641e+01
3.210105712890625000e+03,8.974530029296875000e+01,9.150943756103515625e+01,9.043576812744140625e+01,1.432076740264892578e+01
3.541914062500000000e+03,9.899667358398437500e+01,9.402818298339843750e+01,8.487327575683593750e+01,1.306121730804443359e+01
2.968507812500000000e+03,8.209313201904296875e+01,9.006330108642578125e+01,6.942624664306640625e+01,1.345279121398925781e+01
1.050162963867187500e+03,2.962195777893066406e+01,9.418862152099609375e+01,7.168687438964843750e+01,1.356277561187744141e+01
1.204781982421875000e+03,3.405810928344726562e+01,8.658461761474609375e+01,7.943290710449218750e+01,1.339273738861083984e+01
1.313661132812500000e+03,3.726023483276367188e+01,9.189109802246093750e+01,1.087962836027145386e-02,1.334217357635498047e+01
1.925300903320312500e+03,5.423295593261718750e+01,9.093443298339843750e+01,9.569090270996093750e+01,1.304156112670898438e+01
1.281221923828125000e+03,3.711378097534179688e+01,8.598135375976562500e+01,3.707642745971679688e+01,1.356138038635253906e+01
2.961102294921875000e+03,8.311102294921875000e+01,9.491000366210937500e+01,1.617824554443359375e+01,1.399878120422363281e+01
1.612888671875000000e+03,4.588850021362304688e+01,8.671722412109375000e+01,9.412325286865234375e+01,1.421729373931884766e+01
1.571994873046875000e+03,4.289863967895507812e+01,9.220265960693359375e+01,9.209751129150390625e+01,1.417558288574218750e+01
2.843690185546875000e+03,7.956998443603515625e+01,9.358873748779296875e+01,3.334587478637695312e+01,1.280557537078857422e+01
1.752890502929687500e+03,4.903443908691406250e+01,8.905417633056640625e+01,8.173428344726562500e+01,1.341133308410644531e+01
1.644907836914062500e+03,4.559325790405273438e+01,8.540431976318359375e+01,3.643615722656250000e+01,1.419742202758789062e+01
9.027775268554687500e+02,2.610407066345214844e+01,8.627585601806640625e+01,2.227320289611816406e+01,1.281635093688964844e+01
2.132496582031250000e+03,5.888900375366210938e+01,9.245137786865234375e+01,9.454745483398437500e+01,1.295202445983886719e+01
1.095254028320312500e+03,3.095773887634277344e+01,9.277038574218750000e+01,2.579897880554199219e+01,1.263707160949707031e+01
3.381460449218750000e+03,9.556715393066406250e+01,8.671572875976562500e+01,3.126323699951171875e+01,1.438395309448242188e+01
1.759892578125000000e+03,4.808317184448242188e+01,8.743832397460937500e+01,8.670967864990234375e+01,1.261754989624023438e+01
3.101460205078125000e+03,8.645642089843750000e+01,9.113964080810546875e+01,7.998809051513671875e+01,1.268715476989746094e+01
3.450222412109375000e+03,9.727635192871093750e+01,8.793037414550781250e+01,9.534202575683593750e+01,1.298778820037841797e+01
3.993924316406250000e+03,1.115349197387695312e+02,9.482608795166015625e+01,1.438962554931640625e+01,1.322981166839599609e+01
1.424642578125000000e+03,4.090814208984375000e+01,8.852106475830078125e+01,5.036123275756835938e+01,1.342486286163330078e+01
1.873220092773437500e+03,5.237392425537109375e+01,8.605815887451171875e+01,8.570027160644531250e+01,1.391834259033203125e+01
2.108449462890625000e+03,5.796867370605468750e+01,9.020197296142578125e+01,3.700007629394531250e+01,1.324587440490722656e+01
3.160211669921875000e+03,8.850802612304687500e+01,9.314665985107421875e+01,8.117740631103515625e+01,1.315756702423095703e+01
1.074962280273437500e+03,3.044164085388183594e+01,8.989923095703125000e+01,7.342852592468261719e+00,1.416064739227294922e+01
1.913166137695312500e+03,5.392483520507812500e+01,8.573149108886718750e+01,3.787985610961914062e+01,1.431549644470214844e+01
2.572359863281250000e+03,7.276499938964843750e+01,9.295974731445312500e+01,9.559842681884765625e+01,1.232667636871337891e+01
2.947441894531250000e+03,8.226628875732421875e+01,9.472186279296875000e+01,5.470080184936523438e+01,1.352472209930419922e+01
1.779061157226562500e+03,4.993258285522460938e+01,8.676773071289062500e+01,8.566143035888671875e+01,1.389629840850830078e+01
2.927780761718750000e+03,8.209945678710937500e+01,9.141753387451171875e+01,9.616234588623046875e+01,1.205889606475830078e+01
3.071682128906250000e+03,8.649925231933593750e+01,9.349552917480468750e+01,8.683598637580871582e-01,1.242598915100097656e+01
1.768868896484375000e+03,4.926246261596679688e+01,9.251541900634765625e+01,9.377667236328125000e+01,1.223512554168701172e+01
3.978779296875000000e+03,1.112779006958007812e+02,8.562062835693359375e+01,4.582620239257812500e+01,1.232257556915283203e+01
2.139298583984375000e+03,6.000883865356445312e+01,9.028367614746093750e+01,1.300464439392089844e+01,1.252483558654785156e+01
3.289379150390625000e+03,9.169010925292968750e+01,9.342804718017578125e+01,1.858584785461425781e+01,1.397524356842041016e+01
1.127509887695312500e+03,3.055241394042968750e+01,9.030346679687500000e+01,6.134505081176757812e+01,1.348933124542236328e+01
3.534011962890625000e+03,9.787717437744140625e+01,8.814285278320312500e+01,5.755465698242187500e+01,1.231737804412841797e+01
2.726681152343750000e+03,7.607730865478515625e+01,8.926634979248046875e+01,1.940000534057617188e+01,1.362699699401855469e+01
2.823397705078125000e+03,7.854172515869140625e+01,9.154447937011718750e+01,4.177257919311523438e+01,1.379525756835937500e+01
1.503979003906250000e+03,4.176438903808593750e+01,9.236354064941406250e+01,2.219540405273437500e+01,1.312803840637207031e+01
8.311410522460937500e+02,2.351105690002441406e+01,8.600744628906250000e+01,9.910199737548828125e+01,1.262316226959228516e+01
3.492224365234375000e+03,9.705575561523437500e+01,9.249683380126953125e+01,3.619935607910156250e+01,1.341493511199951172e+01
3.539706054687500000e+03,9.949382781982421875e+01,8.533058929443359375e+01,5.727041244506835938e+01,1.220822334289550781e+01
2.366684082031250000e+03,6.692835998535156250e+01,9.128913879394531250e+01,4.691094207763671875e+01,1.266017436981201172e+01
1.443533813476562500e+03,4.074072647094726562e+01,9.094947814941406250e+01,1.259886360168457031e+01,1.247914314270019531e+01
2.264559082031250000e+03,6.360493850708007812e+01,8.798851776123046875e+01,1.994278717041015625e+01,1.407609272003173828e+01
3.821266113281250000e+03,1.068102645874023438e+02,8.526201629638671875e+01,2.426740455627441406e+01,1.291671848297119141e+01
3.250927246093750000e+03,9.060229492187500000e+01,8.988976287841796875e+01,1.779827880859375000e+01,1.388446235656738281e+01
2.968619628906250000e+03,8.293902587890625000e+01,9.169482421875000000e+01,2.949148750305175781e+01,1.278698539733886719e+01
9.268072509765625000e+02,2.641393852233886719e+01,8.992961883544921875e+01,7.279543304443359375e+01,1.387675666809082031e+01
8.620996704101562500e+02,2.406013298034667969e+01,9.036486816406250000e+01,4.595471572875976562e+01,1.440503597259521484e+01
3.917111083984375000e+03,1.095957107543945312e+02,8.578939819335937500e+01,9.521925354003906250e+01,1.423155689239501953e+01
2.785055419921875000e+03,7.649434661865234375e+01,9.380001831054687500e+01,8.001288604736328125e+01,1.304934692382812500e+01
2.179348144531250000e+03,6.125068283081054688e+01,8.825179290771484375e+01,1.323550987243652344e+01,1.211790466308593750e+01
3.502123291015625000e+03,9.834181213378906250e+01,8.626241302490234375e+01,1.244488525390625000e+01,1.304183101654052734e+01
3.690840576171875000e+03,1.023490829467773438e+02,8.957263946533203125e+01,9.907977294921875000e+01,1.329090213775634766e+01
2.346014892578125000e+03,6.561566162109375000e+01,8.735796356201171875e+01,2.912095785140991211e+00,1.362639617919921875e+01
9.963289184570312500e+02,2.803499603271484375e+01,9.084491729736328125e+01,2.909671783447265625e+01,1.273280715942382812e+01
2.486045166015625000e+03,-3.843263685703277588e-01,8.849920654296875000e+01,6.340525054931640625e+01,1.386879348754882812e+01
2.174020751953125000e+03,6.120296859741210938e+01,9.169076538085937500e+01,4.349534606933593750e+01,1.311927413940429688e+01
1.482220458984375000e+03,4.188353729248046875e+01,8.615310668945312500e+01,2.787492179870605469e+01,1.241559219360351562e+01
2.476828369140625000e+03,6.930698394775390625e+01,9.326982116699218750e+01,2.322255611419677734e+00,1.219783020019531250e+01
2.103791015625000000e+03,5.925977325439453125e+01,8.695194244384765625e+01,9.931182098388671875e+01,1.277533721923828125e+01
2.311445556640625000e+03,6.501501464843750000e+01,9.279113769531250000e+01,7.701098632812500000e+01,1.326183891296386719e+01
3.002875000000000000e+03,8.348238372802734375e+01,8.983325195312500000e+01,5.201993560791015625e+01,1.347820472717285156e+01
1.258695068359375000e+03,3.459255218505859375e+01,8.644982910156250000e+01,5.218871688842773438e+01,1.249244976043701172e+01
3.136886718750000000e+03,8.810941314697265625e+01,9.293922424316406250e+01,7.367169952392578125e+01,1.321930503845214844e+01
3.704103271484375000e+03,1.042080688476562500e+02,9.163101959228515625e+01,7.931172180175781250e+01,1.230491828918457031e+01
2.612788818359375000e+03,7.332592010498046875e+01,8.828565979003906250e+01,9.948182106018066406e+00,1.430339050292968750e+01
3.557727539062500000e+03,9.859638977050781250e+01,9.174399566650390625e+01,1.346987438201904297e+01,1.014963912963867188e+01
2.259208740234375000e+03,6.385454177856445312e+01,8.632032012939453125e+01,7.018280792236328125e+01,1.448079395294189453e+01
1.156641967773437500e+03,3.214223480224609375e+01,8.925859069824218750e+01,6.108343124389648438e+01,1.200985622406005859e+01
